ID,DISTANCIA,TIEMPO
124089165,1359.337522618591,2057.4405040673423
124093149,13712.85653031878,2006.4707287012045
124090750,10986.197018002316,920.4915738790247
124092491,6713.092531387964,4127.9010395045025
124091871,17450.50055894253,4266.500417333267
124089026,15222.517420780847,9237.175161704343
124090271,11094.568740825058,7711.133186563821
124091215,8117.639426765752,6433.259805557574
124088962,11339.36071103415,4236.395161578542
124091827,10281.007334768172,7342.291989508237
124091050,19970.098175554747,7087.782806238014
124092305,15893.63929796915,2893.803425880794
124091388,5118.5195422974175,2718.6780256770453
124088838,3895.7684142885078,9230.718059488758
124089731,19688.022198381364,535.7914421899967
124092841,6692.366164441918,4491.221180426248
124091704,6199.387281655931,3506.751814252669
124089590,360.7101395299164,2497.9843065193236
124090757,3109.673565133252,2700.2148082579097
124089142,19379.549537294755,5272.678014265545
124090006,6952.369580974392,1607.2331596078839
124091910,4758.032029839895,8904.075898314273
124089184,17410.47766493706,1381.9486797336035
124090633,16075.508696445679,4793.934200771764
124089667,1163.4416977311896,5826.104769952812
124092709,12607.98081011592,7194.608240587733
124092308,2395.881160481853,7894.918655633484
124091723,1898.233151576634,8719.778416290535
124088984,5760.7220404381005,4079.6639104208607
124091872,10109.583129549595,420.5401134531
124089813,785.4720782411523,8413.062302581277
124091623,17957.713602643442,8783.506017437403
124092422,3063.6878430875995,4803.854133208412
124089349,9520.33423535409,5581.874949238693
124091982,13246.780779762728,358.27958055925524
124089760,7453.362538628671,8297.362650570318
124088571,1131.6500426098303,1251.1426273438537
124093410,8276.457175140165,1260.2431449850405
124090330,12880.672986686826,4593.62156488982
124093413,17236.51512035841,7802.0064852973765
124091615,14494.828814581859,6023.742452988468
124090772,6416.230772102387,9884.349919721577
124092582,4084.8956070818977,8832.859399700248
124090555,4582.33161821193,9999.289653609025
124090098,5555.577915025334,5799.194286060727
124089729,2202.2642684202456,7776.206051111073
124091097,611.961701475426,6252.260963179208
124093211,15650.031515151852,6969.820642990153
124091586,15198.82562473161,6357.5723072734945
124089129,8916.42859601656,1847.0708198737398
124088897,14480.899753393871,6993.878928823077
124089270,7822.445700953529,9813.90869092747
124091092,18905.681853726473,1226.6461962211008
124090008,1387.7105432248286,4956.198594504662
