ID,DISTANCIA,TIEMPO
124089165,50283.71,4066.4875
124093149,91687.15,6474.1074
124090750,12919.646,1641.5288
124092491,13802.773,1725.9187
124091871,11703.281,1526.5664
124089026,12312.744,1584.3943
124090271,12121.911,1566.8206
124091215,11886.898,1535.5977
124088962,3998.324,693.7484
124091827,2467.2273,472.2135
124091050,169439.9,11095.521
124092305,52140.555,4175.8477
124091388,37596.453,3270.0427
124088838,9637.404,1329.8197
124089731,107392.63,7451.1934
124092841,16779.666,2008.2795
124091704,8732.497,1243.7738
124089590,9456.189,1304.8024
124090757,8831.792,1253.7964
124089142,11477.684,1504.583
124090006,8019.284,1182.029
124091910,88324.74,6334.742
124089184,19100.533,2203.2693
124090633,55129.45,4384.1387
124089667,12220.885,1579.9014
124092709,10140.066,1377.5079
124092308,43021.586,3592.1292
124091723,16600.895,1977.0447
124088984,8919.705,1265.8392
124091872,1962.7542,391.131
124089813,18810.531,2176.5015
124091623,12215.717,1574.8835
124092422,12132.016,1556.2275
124089349,41528.28,3473.9163
124091982,27223.248,2718.53
124089760,11978.175,1539.1165
124088571,36087.65,3243.3928
124093410,101174.87,7009.383
124090330,126689.734,8546.625
124093413,21779.56,2396.6868
124091615,14561.585,1797.6685
124090772,24908.662,2582.0027
124092582,6184.802,1001.9172
124090555,27526.21,2676.383
124090098,87819.555,6259.1953
124089729,87508.29,6224.115
124091097,63308.08,4867.8
124093211,11662.693,1522.593
124091586,68876.82,5159.3994
124089129,10170.869,1380.2697
124088897,4087.3794,706.86334
124089270,16014.187,1935.3967
124091092,9794.219,1345.3381
124090008,9012.643,1274.6448
124093475,118735.305,8067.5137
124089604,34398.86,3142.932
124091741,19592.17,2274.559
124091259,11551.354,1512.2327
124090707,9813.164,1347.0574
124090776,1928.6077,372.53934
124093583,11546.57,1496.7434
124089256,215395.39,13835.275
124089752,19341.502,2251.419
124088723,24372.938,2549.0173
124092302,30128.26,2890.4358
124090788,12013.725,1545.3115
124092880,68289.59,5088.9453
124091243,23088.26,2448.0261
124089087,7298.5107,1107.7832
124092715,551589.75,33713.598
124091113,59295.047,4630.8945
124093120,27385.766,2725.9226
124093053,161627.42,10678.393
124090100,4239.386,728.62885
124087931,1991.0209,394.08328
124091715,29755.63,2811.4773
124092899,33501.445,3091.5315
124092751,9306.991,1299.005
124091272,40190.5,3454.6433
124089281,14219.136,1733.144
124093458,6104.707,994.33185
124089818,1550.1404,329.69885
124089504,23562.35,2501.8596
124091617,7679.223,1143.694
124090651,2802.0588,502.87665
124092015,14733.51,1814.6311
124091727,4198.1016,723.15955
124092029,177827.39,11617.33
124088432,1153.8223,251.4209
124092750,6917.0713,1072.5314
124088021,7229.233,1093.2032
124092426,122776.21,8381.615
124090941,248695.55,15818.549
124090363,52298.95,4172.0283
124092643,7568.8306,1119.2129
124093289,93918.0,6639.453
124092092,59310.145,4616.5117
124091879,14682.039,1809.1997
124088813,20865.965,2341.9614
124092713,9674.653,1333.5966
124090082,52137.984,4151.6475
124089812,9087.104,1258.9884
124090178,18976.584,2216.8696
124088749,134708.27,9075.645
124090922,28731.896,2766.0637
124092377,20948.746,2347.647
124092884,49655.555,3983.7942
124092926,1478.977,290.04535
124093498,547247.7,33440.69
124090727,6107.504,998.75507
124088713,6476.739,965.21075
124093464,55221.336,4314.3027
124088870,19733.52,2275.3452
124092159,20779.877,2338.714
124090390,114249.29,7825.7383
124093510,48454.57,3942.0852
124093101,10712.509,1432.163
124093128,18452.725,2167.637
124088661,31526.213,2973.9353
124090942,153673.81,10149.145
124092617,32316.154,3025.3948
124089947,8624.123,1234.07
124091677,19196.766,2237.864
124089608,7298.629,1108.0513
124087668,2173.2234,404.81583
124089083,3310.7712,590.2335
124090286,75274.19,5524.5195
124093134,14281.421,1771.0996
124089134,4027.1116,697.1408
124092537,122677.62,8270.705
124090629,25352.473,2569.2341
124091154,11543.83,1511.5183
124088705,33739.543,3104.4172
124089998,11286.767,1486.9609
124092187,6632.0635,1030.162
124092391,19522.498,2223.7654
124093056,163520.77,10790.117
124092311,10668.399,1427.5629
124092768,35579.21,3211.7947
124091621,46743.742,3853.8645
124092657,6310.8027,949.0645
124091981,28103.334,2771.5457
124088718,6111.284,976.6801
124090324,14232.881,1752.2073
124088564,33168.242,3069.487
124092933,9350.473,1302.9746
124088591,9963.203,1361.0525
124088672,15521.84,1888.783
124090761,27166.992,2715.6238
124092916,83093.336,6018.536
124090322,12689.6,1620.1194
124090844,4577.88,791.1418
124088752,2393.7385,451.6281
124092731,28375.44,2787.0925
124093270,29965.379,2854.093
124090360,52157.715,4190.666
124088930,2028.3834,383.0452
124088869,6209.0063,985.96063
124092863,13926.668,1713.7009
124090733,6110.3457,972.27057
124090863,5115.6777,875.11554
124088892,4872.347,810.83594
124091087,42957.16,3602.0217
124092747,50226.734,4035.0588
124090898,4241.928,729.75555
124089562,21713.67,2393.8909
124093131,115662.836,7908.0117
124091049,19295.498,2247.3137
124092326,28924.002,2818.5632
124092532,18644.611,2184.9355
124093333,1627.8707,336.8135
124089630,34333.547,3139.6584
124091868,11628.923,1518.9407
124090688,18665.666,2187.4778
124090740,69776.2,5168.463
124089684,18871.127,2206.699
124088697,5952.324,979.8055
124090816,27776.246,2751.828
124089107,1693.9534,327.91873
124090943,91767.21,6457.4395
124093506,95628.01,6693.176
124092303,41798.707,3519.8743
124088919,4604.7363,784.9913
124093573,6452.4663,1027.6371
124091052,148126.52,9822.469
124088898,6589.175,1039.938
124089039,6088.6514,978.6088
124087758,36178.918,3247.2683
124090904,6993.7773,1046.5548
124088508,22566.215,2443.5486
124089558,32970.33,3026.8474
124088982,15110.768,1849.8035
124090940,87746.31,6290.6055
124090871,1199609.9,71997.81
124089050,3624.7961,650.6427
124090967,167609.67,10985.885
124089163,5950.174,955.73676
124089801,6864.087,1066.7927
124088941,12842.365,1604.3977
124089202,35861.387,3187.2239
124092647,37321.547,3258.7913
124092571,14924.488,1832.2043
124088890,120397.7,8210.607
124089058,14136.596,1757.2224
124092847,83089.96,6018.337
124092073,35000.812,3177.0613
124089422,16222.839,1955.3608
124092598,8285.434,1193.4976
124092256,33129.59,3060.9734
124089110,195276.03,12577.006
124091214,154790.81,10231.73
124092062,11370.373,1494.7
124092759,159803.27,10570.555
124091658,203105.23,13108.127
124092120,70285.625,5201.87
124092549,160203.08,10594.264
