,id,fecha,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia,tiempo,region_origen,region_destino,distancia_api,tiempo_api
0,124092420,2021-07-28,-11.96507,-77.12269,-12.0702,-77.13524000000001,14747.0,1775.0,Callao,Lima,13573.1,1285.1
1,124091219,2021-07-25,-12.15509,-76.97996,-12.0757,-76.91754,17171.0,1821.0,Lima,Lima,14549.1,1210.1
2,124091187,2021-07-25,-14.53377,-75.1846,-14.8863,-74.99414,58708.0,3842.0,Ica,Ica,58253.0,3680.0
3,124093495,2021-08-01,-5.201517,-80.64635,-5.38453,-80.62314,23611.0,1446.0,Departamento de Piura,Departamento de Piura,23597.4,1472.8
4,124092156,2021-07-27,-11.96747,-77.12508,-12.035,-77.07444000000001,14229.0,1974.0,Callao,Lima,14608.3,1154.8
5,124090556,2021-07-23,-11.96515,-77.12277,-11.88,-77.16244,14550.0,1911.0,Callao,Lima,14425.0,1300.6
6,124090217,2021-07-22,-13.54389,-71.91968,-13.48843,-72.11601999999999,27756.0,3303.0,Cusco,Cusco,29290.7,2260.4
7,124091647,2021-07-26,-11.11297,-77.61004,-11.9706,-77.01404000000001,151691.0,9645.0,Lima,Lima,152338.4,9093.2
8,124093188,2021-07-31,-13.54379,-71.91965,-13.5214,-71.98614,8965.0,1538.0,Cusco,Cusco,9546.3,921.5
9,124090892,2021-07-24,-16.44997,-71.51241,-16.4151,-71.54034,6509.0,957.0,Arequipa,Arequipa,6129.4,703.0
10,124092315,2021-07-28,-12.59543,-69.19855,-12.8931,-69.83774,83476.0,4507.0,Madre de Dios,Madre de Dios,83524.8,10670.0
11,124089482,2021-07-21,-5.176979,-80.68034,-5.39222,-80.77462,39430.0,3378.0,Departamento de Piura,Departamento de Piura,39515.6,2522.8
12,124089848,2021-07-22,-13.54389,-71.91968,-12.87133,-72.70042,209617.0,16816.0,Cusco,Cusco,209384.2,16491.7
13,124093006,2021-07-30,-12.15562,-76.98,-12.186,-76.98764,4625.0,811.0,Lima,Lima,4985.7,858.4
14,124091852,2021-07-26,-13.15592,-74.22416,-13.1795,-74.22994,3360.0,908.0,Ayacucho,Ayacucho,3210.3,442.6
15,124088562,2021-07-19,-16.55111,-72.59782,-16.40973,-73.22962,104278.0,6731.0,Arequipa,Arequipa,104200.6,5809.2
16,124089742,2021-07-21,-11.97697,-77.01445,-12.22123,-76.91232,36482.0,3922.0,Lima,Lima,33624.2,2677.2
17,124091120,2021-07-25,-14.69216,-74.13892,-14.8863,-74.99414,197324.0,16633.0,Ayacucho,Ica,160371.0,7830.8
18,124091250,2021-07-25,-11.96515,-77.12243,-11.9892,-77.05344000000001,9336.0,2092.0,Callao,Lima,9330.3,997.6
19,124089463,2021-07-19,-8.413985,-74.56741,-8.39085,-74.54142,5236.0,888.0,Ucayali,Ucayali,5735.2,605.8
20,124088755,2021-07-19,-5.20156,-80.64625,-5.34657,-80.70931999999999,20972.0,1909.0,Departamento de Piura,Departamento de Piura,20961.7,1553.6
21,124091949,2021-07-27,-11.96572,-77.12257,-12.0125,-76.88014,37983.0,3498.0,Callao,Lima,33307.7,2306.6
22,124089852,2021-07-22,-11.87568,-77.03142,-11.87583,-77.12151999999999,19979.0,2431.0,Lima,Lima,18919.4,1530.4
23,124091705,2021-07-26,-8.414603,-74.5676,-8.32501,-74.85904000000001,48324.0,4458.0,Ucayali,Ucayali,50642.7,3009.9
24,124092270,2021-07-28,-16.38564,-71.54844,-16.413700000000002,-71.54754,4293.0,716.0,Arequipa,Arequipa,4362.8,467.5
25,124092984,2021-07-30,-6.483966,-76.36055,-6.367979999999999,-76.74694000000001,104674.0,11777.0,San Martín,San Martín,91284.7,5231.4
26,124091989,2021-07-27,-9.071959,-78.59869,-9.06737,-78.58704,2512.0,320.0,Ancash,Ancash,1986.3,245.6
27,124088924,2021-07-20,-15.83613,-70.01984,-15.82093,-70.02252,2291.0,400.0,Puno,Puno,2289.1,287.3
28,124089811,2021-07-22,-6.716923,-79.81094,-6.80043,-79.83941999999999,16324.0,1616.0,Lambayeque,Lambayeque,16352.9,1506.4
29,124091292,2021-07-25,-6.773885,-79.85686,-6.71693,-79.91124,12368.0,1265.0,Lambayeque,Lambayeque,11796.2,910.1
30,124092063,2021-07-27,-7.160597,-78.5237,-7.26465,-78.40504,24777.0,3117.0,Cajamarca,Cajamarca,23529.4,2494.0
31,124091242,2021-07-25,-9.172466,-78.35993,-9.08191,-78.57734,39360.0,2700.0,Ancash,Ancash,39365.2,3035.2
32,124091724,2021-07-26,-12.15563,-76.97968,-12.0345,-76.93974,18258.0,1956.0,Lima,Lima,17821.0,1318.5
33,124089436,2021-07-21,-11.99379,-75.286,-12.06213,-75.19232,15648.0,2093.0,Junín,Junín,15704.7,1097.1
34,124092701,2021-07-30,-12.15571,-76.98002,-12.2348,-76.94234,11613.0,1342.0,Lima,Lima,11407.7,946.5
35,124090281,2021-07-22,-6.483243,-76.36246,-6.483759999999999,-76.39811999999999,6162.0,891.0,San Martín,San Martín,5496.8,492.9
36,124092729,2021-07-30,-12.15571,-76.98002,-12.0658,-76.94204,13709.0,1252.0,Lima,Lima,13439.8,923.9
37,124092028,2021-07-27,-12.15581,-76.97998,-12.1659,-76.98364000000001,4274.0,590.0,Lima,Lima,3978.6,338.3
38,124092027,2021-07-27,-12.15581,-76.97998,-12.0941,-76.94244,12730.0,1400.0,Lima,Lima,11675.4,970.5
39,124090720,2021-07-24,-12.15565,-76.97975,-12.1623,-76.98924000000001,4608.0,603.0,Lima,Lima,4336.3,402.2
40,124090075,2021-07-22,-11.96519,-77.12257,-11.95943,-77.01111999999999,28633.0,4093.0,Callao,Lima,29253.0,2584.4
41,124090781,2021-07-24,-6.48385,-76.36065,-6.483429999999999,-76.39944,7010.0,943.0,San Martín,San Martín,5943.0,562.0
42,124088724,2021-07-19,-13.53029,-71.93884,-13.36533,-72.11612,39958.0,3993.0,Cusco,Cusco,46669.9,3135.5
43,124089740,2021-07-21,-12.16562,-76.92236,-12.22743,-76.91302,10614.0,1245.0,Lima,Lima,10520.3,888.4
44,124088557,2021-07-19,-11.97679,-77.01421,-12.07633,-76.98892,17827.0,2090.0,Lima,Lima,16037.6,1320.4
45,124089888,2021-07-19,-11.96467,-77.12311,-12.01393,-77.10512,8940.0,1072.0,Callao,Lima,6087.5,654.3
46,124090258,2021-07-22,-12.21899,-76.94265,-12.03193,-77.13492,41496.0,3534.0,Lima,Lima,36351.6,2753.5
47,124092040,2021-07-27,-7.982075,-79.06519,-8.5457,-78.68374,110474.0,7450.0,La Libertad,La Libertad,84426.9,6021.4
48,124092619,2021-07-29,-12.94212,-76.38585,-12.9203,-76.12244,55616.0,4983.0,Lima,Lima,57262.9,4593.8
49,124089309,2021-07-20,-16.60427,-72.76879,-16.40973,-73.22962,68018.0,4161.0,Arequipa,Arequipa,67929.6,3559.0
50,124089314,2021-07-21,-11.97278,-77.1183,-11.98723,-77.11811999999999,2016.0,580.0,Callao,Lima,2125.2,271.9
51,124091979,2021-07-27,-8.072888,-79.03893,-8.08751,-79.12464,14505.0,1696.0,La Libertad,La Libertad,14715.4,1313.0
52,124088699,2021-07-19,-12.15578,-76.97984,-12.21513,-76.94481999999999,8948.0,1122.0,Lima,Lima,9179.4,815.7
53,124089002,2021-07-20,-12.02732,-77.09722,-11.84833,-77.13911999999999,23965.0,2446.0,Callao,Lima,23950.1,1924.7
54,124088776,2021-07-19,-11.994,-75.26431,-12.04763,-75.23012,9323.0,1235.0,Junín,Junín,8219.0,758.8
55,124089999,2021-07-22,-5.167107,-80.66298,-5.18713,-80.66252,2943.0,412.0,Departamento de Piura,Departamento de Piura,2883.8,400.2
56,124089835,2021-07-22,-12.15562,-76.97999,-12.04223,-76.82902,39568.0,3795.0,Lima,Lima,39264.5,2725.0
57,124093587,2021-08-01,-14.04114,-75.69933,-14.0726,-75.74614,8334.0,1265.0,Ica,Ica,7729.1,742.6
58,124090939,2021-07-24,-16.38971,-71.54777,-16.7335,-71.87744,69936.0,4819.0,Arequipa,Arequipa,70086.1,4684.2
59,124090070,2021-07-19,-17.46425,-71.0564,-17.166829999999997,-70.90002,43791.0,2809.0,Moquegua,Moquegua,44118.1,3438.6
60,124089672,2021-07-21,-4.581058,-81.18763,-4.6659,-81.30672,22663.0,1967.0,Departamento de Piura,Departamento de Piura,23756.8,1551.9
61,124089703,2021-07-21,-17.20657,-70.9524,-17.73143,-71.29352,94695.0,4495.0,Moquegua,Moquegua,93150.1,6368.1
62,124089243,2021-07-20,-12.04446,-77.05126,-11.87903,-77.02481999999999,23938.0,2374.0,Lima,Lima,22564.6,1745.3
63,124093189,2021-07-31,-12.15584,-76.98,-12.2324,-76.97984000000001,10959.0,1250.0,Lima,Lima,12203.2,892.5
64,124093146,2021-07-31,-12.03236,-77.01221,-12.2031,-76.99914,28087.0,2215.0,Lima,Lima,28042.1,1715.0
65,124093112,2021-07-31,-13.39135,-76.14552,-13.7208,-76.14964,44983.0,2515.0,Ica,Ica,45031.3,2588.2
66,124090319,2021-07-23,-9.13605,-78.52108,-9.13071,-78.50414,2718.0,436.0,Ancash,Ancash,2816.3,279.5
67,124092458,2021-07-29,-16.42865,-71.48995,-16.413700000000002,-71.54754,8795.0,1379.0,Arequipa,Arequipa,8519.2,891.6
68,124088703,2021-07-19,-11.97679,-77.01421,-12.13383,-77.03192,24324.0,2465.0,Lima,Lima,22085.0,1848.1
69,124089210,2021-07-20,-11.98656,-77.12461,-12.04903,-77.05022,14758.0,1885.0,Callao,Lima,14565.4,1150.5
70,124088866,2021-07-20,-12.07538,-77.01181,-12.03053,-77.10932,17033.0,2004.0,Lima,Lima,20135.6,2247.2
71,124089927,2021-07-19,-9.05435,-78.5844,-9.21761,-78.47152,26582.0,2534.0,Ancash,Ancash,26039.6,2324.4
72,124091854,2021-07-26,-11.965,-77.12263,-12.0699,-77.08994,15681.0,1967.0,Callao,Lima,13723.0,1214.5
73,124090581,2021-07-23,-6.76583,-79.86971,-6.824529999999999,-79.86164000000001,12805.0,1240.0,Lambayeque,Lambayeque,8606.5,667.2
74,124088763,2021-07-19,-12.5832,-69.20412,-12.80393,-69.63422,55071.0,2988.0,Madre de Dios,Madre de Dios,54796.4,6697.3
75,124091342,2021-07-26,-6.483948,-76.36053,-6.501449999999999,-76.38634,7226.0,1016.0,San Martín,San Martín,6346.1,642.1
76,124090356,2021-07-23,-5.201555,-80.6463,-5.372719999999999,-80.74264000000001,25434.0,2249.0,Departamento de Piura,Departamento de Piura,25812.7,1913.6
77,124092855,2021-07-30,-12.15576,-76.97996,-12.0998,-77.04884,17040.0,1522.0,Lima,Lima,12232.0,1115.5
78,124092395,2021-07-28,-6.766022,-79.87011,-6.71693,-79.91124,11713.0,1210.0,Lambayeque,Lambayeque,11389.9,888.4
