ID,DISTANCIA,TIEMPO
124089165,76700.76,5359.0874
124093149,126495.164,11427.147
124090750,20863.316,2129.6433
124092491,12293.953,1529.7701
124091871,9435.025,1040.8706
124089026,11931.46,1447.6473
124090271,13311.674,1923.9515
124091215,16460.121,1924.294
124088962,3791.5173,609.91223
124091827,1895.9354,381.23
124091050,251542.97,10851.395
124092305,71108.08,5189.096
124091388,56958.363,3082.7593
124088838,9623.171,1197.6392
124089731,100958.39,7390.2363
124092841,16544.467,1999.1189
124091704,7432.829,1171.8907
124089590,9168.849,1207.6017
124090757,9977.861,1360.0463
124089142,15199.789,2595.3567
124090006,7554.055,1155.437
124091910,81362.44,5444.639
124089184,17211.03,1823.07
124090633,47030.863,3228.887
124089667,13614.473,1727.5991
124092709,9317.772,1436.4008
124092308,36206.37,2218.534
124091723,15231.844,1849.5194
124088984,9874.898,1216.8953
124091872,1802.5817,326.0018
124089813,20948.37,2314.159
124091623,12943.935,1336.053
124092422,11709.455,1580.1106
124089349,42133.73,3711.0474
124091982,24277.197,2482.1707
124089760,10902.504,1333.0748
124088571,31061.426,2213.1433
124093410,85393.39,5053.7
124090330,119650.89,6541.9917
124093413,31231.242,3095.635
124091615,11738.345,1513.177
124090772,22552.363,2304.5022
124092582,5023.422,822.0805
124090555,26937.174,3026.8188
124090098,114683.25,10490.331
124089729,151624.03,10378.221
124091097,59279.0,4838.572
124093211,11448.531,1489.5282
124091586,79585.7,8228.511
124089129,8354.957,1156.9685
124088897,3310.99,517.64
124089270,23369.408,2256.0789
124091092,14402.466,2514.8804
124090008,9207.437,1159.8906
124093475,164734.92,12047.873
124089604,30225.52,2642.5703
124091741,16879.846,2457.5818
124091259,12089.346,1308.7761
124090707,9566.865,1304.8506
124090776,2172.811,352.44815
124093583,11799.678,1403.0151
124089256,190239.06,10573.329
124089752,18580.2,2078.3757
124088723,24705.42,2534.8474
124092302,26223.135,2503.2178
124090788,11731.441,1703.0804
124092880,54998.785,2961.9592
124091243,22472.812,1461.8152
124089087,7419.8486,1027.5314
124092715,576936.7,30539.016
124091113,50530.145,5717.411
124093120,21736.842,1977.1132
124093053,143805.97,9048.805
124090100,4345.352,671.6172
124087931,3439.3865,524.3614
124091715,28739.402,2581.7395
124092899,31593.645,2130.9724
124092751,7694.2344,1185.7402
124091272,36117.805,3801.4773
124089281,16113.648,1483.1582
124093458,5643.168,889.94415
124089818,1820.4028,326.9448
124089504,21995.04,2095.6372
124091617,7955.0166,1229.8691
124090651,2468.9238,433.7977
124092015,15093.587,2045.2473
124091727,4651.6025,751.88086
124092029,162300.25,9520.146
124088432,1058.6399,214.78271
124092750,7189.992,1216.8306
124088021,6429.8115,967.4347
124092426,117509.38,7231.4316
124090941,301226.78,16709.164
124090363,43989.16,3248.7678
124092643,7803.691,1214.1664
124093289,132147.73,12601.424
124092092,56448.812,3680.3787
124091879,13248.191,1480.4113
124088813,22238.271,2358.4814
124092713,8109.578,979.02563
124090082,57705.92,5949.309
124089812,15911.119,2217.0886
124090178,16963.678,2077.7068
124088749,110527.34,5692.982
124090922,37095.363,3391.3882
124092377,19165.27,2351.5227
124092884,43074.613,2598.914
124092926,1438.2838,260.8203
124093498,482322.03,29634.596
124090727,5263.6943,782.4992
124088713,6736.6646,1040.8889
124093464,62862.707,3925.5664
124088870,28559.266,2414.1792
124092159,17958.182,1838.5795
124090390,110816.41,6080.023
124093510,42624.652,2909.8066
124093101,9500.574,987.115
124093128,15423.967,1277.4259
124088661,29340.691,2431.3975
124090942,190835.66,16248.825
124092617,39576.246,3717.574
124089947,10365.788,1371.6597
124091677,18445.629,2143.6614
124089608,7005.953,1051.4564
124087668,2011.7153,351.34653
124089083,3409.864,538.0893
124090286,64250.73,5328.0806
124093134,13172.865,1491.221
124089134,3802.2322,568.88837
124092537,131477.61,7125.687
124090629,20784.691,1890.1416
124091154,12086.85,1308.4299
124088705,33503.043,2762.4639
124089998,11077.543,1410.4591
124092187,7584.5884,1185.146
124092391,27510.238,2071.3972
124093056,145356.44,9177.401
124092311,11413.607,1471.0239
124092768,41333.777,3367.5747
124091621,70624.17,5760.6143
124092657,5707.702,882.5281
124091981,26152.39,2704.8088
124088718,5707.965,821.92993
124090324,13341.873,1640.9021
124088564,33615.312,2483.932
124092933,8720.963,1202.7701
124088591,8814.871,1356.4583
124088672,13970.943,1807.916
